pd_index,date_f1,CNUM,LNUM_f1,SI_f1,S_f1,MN_f1,P_f1,CU_f1,NI_f1,CR_f1,MO_f1,TI_f1,HM_Temp_f1,ProbeSi_f1,Time_f1,Timestamp_f1,Compliant_eq_1_f1,C_perce_sat_f1,Before_After_f1,Good_bad_f1,date,Slag_Time_f2,Open_Time_f2,Close_Time_f2,Taphole_f2,Pipe_burn_hole_f2,Taphole_Length_f2,Clay_box_f2,Clay_Close_hole_ft3_f2,Clay_temp_f2,Drill_bit_size_f2,Drill_shafts_used_f2,Cast_Avg_Temp_f2,Cast_Avg_Si_f2,Cast_Avg_S_f2,Cast_Avg_Mn_f2,Cast_Avg_P_f2,Cast_Avg_Cu_f2,Cast_Avg_Ni_f2,Cast_Avg_Cr_f2,Cast_Avg_Mo_f2,Cast_Avg_Ti_f2,Slag_Fe_f2,Slag_SiO2_f2,Slag_Al2O3_f2,Slag_CaO_f2,Slag_MgO_f2,Slag_S_f2,Slag_K2O_f2,Slag_B_SiO2_f2,Slag_TiO2_f2
10,44409,2812,155,1.050999999,0.043000001,0.555999994,0.075000003,0.003,0.018999999,0.052999999,0.002,0.030999999,2602,,0.368055556,44409.36806,,4.617767999,B,0.0,8/1/2021 0:00,08:45,08:25,11:04,3,0,11.89999962,596,3.5,160,2.25,2,2693,1.003000021,0.046999998,0.513000011,0.075000003,0.003,0.016000001,0.052999999,0.002,0.029999999,0.050000001,38.38000107,7.329999924,38.61000061,10.82999992,1.25999999,0.310000002,1.289999962,0.349999994
11,44409,2812,144,1.052999973,0.043000001,0.509000003,0.075999998,0.003,0.013,0.055,0.002,0.033,2702,,0.396527778,44409.39653,,4.756852009,B,0.0,8/1/2021 0:00,08:45,08:25,11:04,3,0,11.89999962,596,3.5,160,2.25,2,2693,1.003000021,0.046999998,0.513000011,0.075000003,0.003,0.016000001,0.052999999,0.002,0.029999999,0.050000001,38.38000107,7.329999924,38.61000061,10.82999992,1.25999999,0.310000002,1.289999962,0.349999994
12,44409,2812,152,0.92900002,0.055,0.48300001,0.074000001,0.003,0.014,0.050999999,0.002,0.026000001,2735,,0.420138889,44409.42014,1.0,4.839253994,B,0.0,8/1/2021 0:00,08:45,08:25,11:04,3,0,11.89999962,596,3.5,160,2.25,2,2693,1.003000021,0.046999998,0.513000011,0.075000003,0.003,0.016000001,0.052999999,0.002,0.029999999,0.050000001,38.38000107,7.329999924,38.61000061,10.82999992,1.25999999,0.310000002,1.289999962,0.349999994
13,44409,2812,157,0.978999972,0.048999999,0.504000008,0.075999998,0.003,0.017000001,0.052999999,0.002,0.028999999,2736,,0.434027778,44409.43403,1.0,4.82608201,B,0.0,8/1/2021 0:00,08:45,08:25,11:04,3,0,11.89999962,596,3.5,160,2.25,2,2693,1.003000021,0.046999998,0.513000011,0.075000003,0.003,0.016000001,0.052999999,0.002,0.029999999,0.050000001,38.38000107,7.329999924,38.61000061,10.82999992,1.25999999,0.310000002,1.289999962,0.349999994
14,44409,2813,185,0.852999985,0.052999999,0.503000021,0.075000003,0.003,0.015,0.052000001,0.002,0.024,2704,,0.484722222,44409.48472,1.0,4.817584004,B,0.0,8/1/2021 0:00,11:10,11:03,13:18,2,0,10.69999981,646,2.5,190,2.130000114,1,2728,0.893999994,0.048999999,0.504999995,0.074000001,0.003,0.017000001,0.050999999,0.002,0.025,0.059999999,38.41999817,6.829999924,38.18999863,10.64999962,1.139999986,0.310000002,1.269999981,0.370000005
15,44409,2813,192,0.898999989,0.046,0.507000029,0.074000001,0.003,0.021,0.050999999,0.002,0.026000001,2742,,0.517361111,44409.51736,1.0,4.863106004,B,0.0,8/1/2021 0:00,11:10,11:03,13:18,2,0,10.69999981,646,2.5,190,2.130000114,1,2728,0.893999994,0.048999999,0.504999995,0.074000001,0.003,0.017000001,0.050999999,0.002,0.025,0.059999999,38.41999817,6.829999924,38.18999863,10.64999962,1.139999986,0.310000002,1.269999981,0.370000005
16,44409,2813,147,0.930999994,0.048,0.504999995,0.074000001,0.003,0.015,0.050999999,0.002,0.026000001,2740,,0.538194444,44409.53819,1.0,4.847190001,B,0.0,8/1/2021 0:00,11:10,11:03,13:18,2,0,10.69999981,646,2.5,190,2.130000114,1,2728,0.893999994,0.048999999,0.504999995,0.074000001,0.003,0.017000001,0.050999999,0.002,0.025,0.059999999,38.41999817,6.829999924,38.18999863,10.64999962,1.139999986,0.310000002,1.269999981,0.370000005
17,44409,2814,122,1.069000006,0.063000001,0.501999974,0.075999998,0.003,0.014,0.050999999,0.002,0.032000002,2651,,0.575,44409.575,,4.671735998,B,0.0,8/1/2021 0:00,14:10,13:25,16:12,3,0,12.0,593,2.5,157,2.25,1,2703,1.080000043,0.057,0.507000029,0.075000003,0.003,0.016000001,0.050999999,0.002,0.032000002,0.050000001,38.06000137,7.130000114,37.09999847,10.39000034,1.210000038,0.300000012,1.25,0.360000014
18,44409,2814,186,1.037999988,0.063000001,0.479999989,0.075000003,0.003,0.018999999,0.050000001,0.002,0.030999999,2694,,0.5875,44409.5875,,4.742740002,B,0.0,8/1/2021 0:00,14:10,13:25,16:12,3,0,12.0,593,2.5,157,2.25,1,2703,1.080000043,0.057,0.507000029,0.075000003,0.003,0.016000001,0.050999999,0.002,0.032000002,0.050000001,38.06000137,7.130000114,37.09999847,10.39000034,1.210000038,0.300000012,1.25,0.360000014
19,44409,2814,157,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2713,,0.625,44409.625,,5.12673,B,1.0,8/1/2021 0:00,14:10,13:25,16:12,3,0,12.0,593,2.5,157,2.25,1,2703,1.080000043,0.057,0.507000029,0.075000003,0.003,0.016000001,0.050999999,0.002,0.032000002,0.050000001,38.06000137,7.130000114,37.09999847,10.39000034,1.210000038,0.300000012,1.25,0.360000014
