,SI_f1,Date_Map,HOST_BLAST_MOISTURE_f3,HOT_BLAST_TMP_NS_f3,NAT_GAS _INJECTION_f3,WINDRATE_f3,HIGH_PURITY_OXYGEN_f3,COAL_FLOW_f3,cokerate_f4,Cast_Avg_Mn_f2,Slag_Fe_f2,date_f1,CNUM,LNUM_f1,Selec_Top_Gas_CO_f3,Selec_Top_Gas_CO2_f3,Selec_Top_Gas_H2_f3,Selec_Top_Gas_N2_f3,NE_Uptake_f3,SE_Uptake_f3,NW_Uptake_f3,SW_Uptake_f3,Slag_SiO2_f2,Slag_CaO_f2,Slag_MgO_f2,SNORT_VALVE_POSITION_f3,TOP_PRESS_f3,HOT_BLAST_PRESSURE_f3,Taphole_f2,HOT_METAL_TEMP_f3
0,0.611999989,2022-01-01 00:34:00,4.238330309,2164.265436,9297.367071,184.7823884,0.0,0.0,884.0,0.268000007,0.209999993,44562.0,1.0,148.0,21.07601545,18.31277094,4.13103916,54.92939903,172.7543605,185.7940671,148.1240015,198.4897154,37.63000107,36.45000076,9.56000042,98.33429718,18.16372909,36.64706069,3.0,2730.002686
1,0.7269999983333334,2022-01-01 00:45:00,4.242439478333334,2161.425209,9306.840913333333,184.81861093333336,0.0,0.0,884.0,0.354000002,0.159999996,44562.0,2.0,168.66666666666666,21.0804315,18.313321946666665,4.131227506,54.94012347333333,171.76951343333334,182.53377023333334,148.1264829,192.512412,37.36999893,36.43999863,9.859999657,98.33429717999998,18.53292766,36.602600153333334,1.0,2730.002686
2,0.7195000024,2022-01-01 08:43:00,4.17434252945,2168.2389147999997,9336.364455525,185.99344666500002,0.0,0.0,884.0,0.312999994,0.8299999830000001,44562.0,6.0,137.45,20.996414620499998,18.311767750999998,4.13391143335,55.07277926925,170.5954692075,183.7250504475,148.1618423075,192.36604629,35.54000092,35.97000122,9.029999733,98.33429718,18.39721720775,36.8829627755,1.0,2730.002686
3,0.7104856638899522,2022-01-01 10:17:00,4.126143820186603,2167.7791191148326,9419.20011490909,185.8284737397129,0.0,0.0,884.0,0.36000001400000003,0.100000001,44562.0,7.0,156.68421052631578,20.749626854258373,18.3417012245933,4.137632427081339,55.37504349607655,167.01742125502392,195.81206063732057,147.56252251961723,198.4234741626794,34.84999847,36.59000015,9.130000114,98.33429718,18.393973852248802,36.56888397660287,3.0,2729.6908212296653
4,0.6661056775528456,2022-01-01 12:40:00,4.1207356343577235,2166.974739691057,9564.165801699186,185.92448053658535,0.0,0.0,884.0,0.319000006,0.340000004,44562.0,8.0,150.869918699187,20.60925944471545,18.64447610154472,4.142824326699187,55.3418836602439,154.21491746422765,188.02888318455285,147.80750912439024,179.1168387780488,34.00999832,35.90000153,8.819999695,98.33429718,18.370316369268295,36.83914713869919,1.0,2703.051419430894
5,0.6751454447818181,2022-01-01 15:06:00,4.120331354690909,2166.384673881818,9648.247637127271,185.94294264636363,0.0,0.0,884.0,0.335000008,0.280000001,44562.0,9.0,160.21818181818182,20.617383329909092,18.845790582727275,4.2206901766545455,55.284451153090906,156.23454216363638,200.14126062545455,149.01431903454545,186.05213704181818,34.38000107,35.97000122,8.729999542,98.33429718000001,18.39585961963636,36.658018345181816,3.0,2741.996582
6,0.7768311853701299,2022-01-01 16:30:00,4.171589178116883,2167.616317058442,9800.27771581169,185.66016432857143,0.0,0.0,884.0,0.349999994,0.239999995,44562.0,10.0,168.48701298701297,20.76185067292208,18.56501480961039,4.307315126590909,55.40592582441558,154.32514451818182,197.30664827012987,149.14519832337663,194.22260149025973,37.59000015,36.95999908,9.960000038,98.33429718,18.358367717402597,36.41895114311688,1.0,2741.996582
7,0.7941323495392156,2022-01-01 19:40:00,4.201480330372549,2165.928694911765,9720.88966977451,185.9860768882353,0.0,0.0,884.0,0.333999991,0.20000000300000004,44562.0,11.0,162.69607843137254,20.99967658372549,18.571619666764704,4.389798844588236,55.13695037705882,162.25575230294118,204.1435242509804,142.24669836862745,215.75560434901962,38.33000183,36.61999893,9.720000267,98.33429718,18.36279967401961,36.63338472372549,3.0,2717.9049683431376
8,0.8124295342751678,2022-01-01 20:25:00,4.046491426348994,2167.5788400268457,9857.86422747651,185.77922914765102,0.0,0.0,884.0,0.372000009,0.300000012,44562.0,12.0,178.3758389261745,20.776591725771812,18.342231205704696,4.434864632214765,55.43542600704698,169.29101720671142,203.94028550402686,142.2287632771812,219.27711112818793,37.09999847,35.45000076,9.119999886,98.33429718,18.385449176778526,36.7048883247651,1.0,2702.3741420536912
9,0.730500013,2022-01-01 00:02:00,4.1171399399999995,2170.168084,9508.467306999999,184.83548754999998,0.0,0.0,884.0,0.354999989,0.219999999,44562.0,13.0,158.0,21.17579873,18.17915446,4.446169727,55.07666392,153.20534025,171.49476815,142.39045744999999,191.64738305,38.20000076,36.43999863,9.75,98.33429718,18.31465282,36.534029695,3.0,2769.005371
10,0.7735618977142857,2022-01-02 00:51:00,4.142119700342858,2166.242893490476,9415.841094338095,185.8466118952381,0.0,0.0,884.0,0.358999997,0.209999993,44563.0,14.0,162.82857142857142,20.959997210285717,18.43498200952381,4.323363691219048,55.309620896666665,157.01517682857144,193.65422517333334,141.55313739809526,187.98431292142857,38.97000122,38.41999817,10.56000042,98.33429718,18.39688574461905,36.54500217938095,1.0,2749.953820980952
